,,,,,,,,,,,,,,,,,spch snapshot images,,,,,,,,,,,,,,
Age (HAS),DAS,DAS-1,WT Leaf Length (mm),WT Leaf Width (mm),Ln Leaf Width (WT),WT Logistic width,Ln Logistoc width,WT Logistic Length,,Age (HAS),fama Leaf Width (mm),Ln fama leaf width ,Aw,kw,PSTmw,y0w,Age (HAS),Leaf Width (mm),Ln Leaf Width (spch),Blade Length,Blade + Petiole length,Series Name,Date Moved to CER,Time moved to CER,Date Imaged,Time imaged,age at imaging (DAS),DAS-1,Age (HAS),3002_PA Leaf Width,elapsed time (h)
48,2,1,0.02,0.05,-3.00,0.034253525,-3.37396581,0.038589367,,286.50,0.5954,-0.51852183,6,0.02,306,0.02,102.53,0.08,-2.53,,0.10,TL01_plantA,26/06/2012,16:30:00,03/07/2012,23:18:00,7,6,174.80,0.132,0.00
48,2,1,0.03,0.06,-2.90,0.034253525,-3.37396581,0.038589367,,286.50,0.37594,-0.978325723,,,,,102.67,0.08,-2.50,,0.12,TL02_planta,26/06/2012,16:30:00,04/07/2012,10:02:00,8,7,185.53,0.148,0.00
72,3,2,0.05,0.07,-2.65,0.055162232,-2.897476759,0.063708522,,286.50,0.40405,-0.906216646,Al,kl,PSTml,y0l,102.82,0.08,-2.59,,0.11,TL03_plantA,26/06/2012,16:30:00,04/07/2012,17:32:00,8,7,193.03,0.202,7:30:00
72,3,2,0.06,0.07,-2.65,0.055162232,-2.897476759,0.063708522,,286.50,0.61598,-0.484540784,9.5,0.021,310,0.02,100.15,0.08,-2.48,,0.16,TL04_plantA,26/06/2012,16:30:00,04/07/2012,23:38:00,8,7,199.13,0.22,13:36:00
72,3,2,0.05,0.07,-2.69,0.055162232,-2.897476759,0.063708522,,286.50,0.5195,-0.654888468,,,,,100.50,0.11,-2.20,,0.12,TL05_plantA,26/06/2012,16:30:00,05/07/2012,10:12:00,9,8,209.70,0.298,24:10:00
94.13333333,3.922222222,2.922222222,,0.080,-2.53,0.085442078,-2.459916577,0.101003804,,262.50,0.400936,-0.913953465,,,,,101.13,0.09,-2.44,,0.12,TL06_plantA,26/06/2012,16:30:00,05/07/2012,20:39:00,9,8,220.15,0.306,34:37:00
94.83333333,3.951388889,2.951388889,,0.089,-2.42,0.086629288,-2.446117324,0.102483391,,262.50,0.311717,-1.165659554,,,,,101.68,0.13,-2.07,,0.12,TL07_plantA,26/06/2012,16:30:00,06/07/2012,08:48:00,10,9,232.30,0.385,46:46:00
95.68333333,3.986805556,2.986805556,,0.080,-2.53,0.088092768,-2.429364841,0.104308877,,214.50,0.22194,-1.505348204,,,,,101.93,0.10,-2.30,,0.16,TL08_plantA,26/06/2012,16:30:00,06/07/2012,20:24:00,10,9,243.90,0.48,58:22:00
96,4,3,0.09,0.08,-2.59,0.08864419,-2.423124785,0.104997151,,214.50,0.24296,-1.414858458,,,,,101.97,0.12,-2.15,,0.13,TL09_plantA,26/06/2012,16:30:00,07/07/2012,11:32:00,11,10,259.03,0.682,73:30:00
96.88333333,4.036805556,3.036805556,,0.094,-2.36,0.090200401,-2.405721411,0.106940895,,310.50,0.464342,-0.767133929,,,,,102.47,0.10,-2.26,,0.14,TL010_plantA,26/06/2012,16:30:00,08/07/2012,13:52,12,11,285.37,,99:50:00
97.8,4.075,3.075,,0.067,-2.70,0.09184378,-2.387666193,0.108995602,,310.50,0.488596,-0.716219307,,,,,102.73,0.12,-2.13,,0.16,TL014_plantA,26/06/2012,16:30:00,12/07/2012,21:48,16,15,389.30,,203:46:00
100,4.166666667,3.166666667,0.08,0.08,-2.49,0.09590909,-2.344354515,0.114087441,,310.50,0.583874,-0.538070073,,,,,122.13,0.11,-2.22,,0.14,,,,,,,,,,
100,4.166666667,3.166666667,0.09,0.08,-2.48,0.09590909,-2.344354515,0.114087441,,310.50,0.362181,-1.015611192,,,,,122.25,0.11,-2.17,,0.15,Series Name,Date Moved to CER,Time moved to CER,Date Imaged,Time imaged,age at imaging (DAS),DAS-1,Age (HAS),2976 P3 Leaf Width,elapsed time (h)
100,4.166666667,3.166666667,0.08,0.08,-2.48,0.09590909,-2.344354515,0.114087441,,310.50,0.420774,-0.865659407,,,,,122.75,0.07,-2.66,,0.12,TL01,06/06/2012,16:30:00,12/06/2012,11:50:00,6,5,139.33,0.063,0.00
100,4.166666667,3.166666667,0.14,0.11,-2.25,0.09590909,-2.344354515,0.114087441,,310.50,0.378469,-0.971621112,,,,,123.15,0.10,-2.35,,0.16,TL02,06/06/2012,16:30:00,13/06/2012,09:45:00,7,6,161.25,0.09,21:55:00
100,4.166666667,3.166666667,0.10,0.09,-2.45,0.09590909,-2.344354515,0.114087441,,335.25,0.780597,-0.247696267,,,,,123.55,0.10,-2.35,,0.15,TL03,06/06/2012,16:30:00,14/06/2012,10:45:00,8,7,186.25,0.172,46:55:00
100,4.166666667,3.166666667,0.12,0.09,-2.42,0.09590909,-2.344354515,0.114087441,,335.25,0.764895,-0.268016709,,,,,123.75,0.11,-2.20,,0.15,Tl04,06/06/2012,16:30:00,15/06/2012,11:18:00,9,8,210.80,0.272,71:28:00
100,4.166666667,3.166666667,0.09,0.09,-2.44,0.09590909,-2.344354515,0.114087441,,335.25,0.734468,-0.308608851,,,,,124.02,0.13,-2.04,,0.17,TL05,06/06/2012,16:30:00,16/06/2012,12:17:00,10,9,235.78,0.39,96:27:00
118.1,4.920833333,3.920833333,,0.130,-2.04,0.13679075,-1.989302893,0.165923546,,335.25,0.73403,-0.309205379,,,,,124.33,0.09,-2.40,,0.13,TL06,06/06/2012,16:30:00,17/06/2012,14:00:00,11,10,261.50,0.499,122:10:00
118.65,4.94375,3.94375,,0.123,-2.10,0.138268888,-1.978555028,0.167817024,,335.25,0.908548,-0.095907558,,,,,124.45,0.08,-2.50,,0.13,TL07,06/06/2012,16:30:00,18/06/2012,10:30:00,12,11,282.00,0.578,142:40:00
119.05,4.960416667,3.960416667,,0.089,-2.42,0.139353681,-1.970740109,0.16920741,,359.25,0.563722,-0.573194057,,,,,146.78,0.10,-2.28,0.14,0.16,TL08,06/06/2012,16:30:00,19/06/2012,10:36:00,13,12,306.10,,166:46:00
120.8833333,5.036805556,4.036805556,,0.134,-2.01,0.144432866,-1.934940478,0.175726073,,359.25,0.628275,-0.46477731,,,,,147.30,0.10,-2.35,-,0.16,,,,,,,,,,
122.1666667,5.090277778,4.090277778,,0.076,-2.58,0.148095275,-1.909899464,0.180435112,,359.25,0.768175,-0.263737707,,,,,147.88,0.09,-2.45,-,0.15,,,,,,,,,,
123.0666667,5.127777778,4.127777778,,0.123,-2.10,0.150717558,-1.892347672,0.183811156,,359.25,0.832748,-0.183024204,,,,,148.08,0.12,-2.11,-,0.16,Series Name,Date Moved to CER,Time moved to CER,Date Imaged,Time imaged,age at imaging (DAS),DAS-1,Age (HAS),3289 Lamina length (mm),3289_2D leaf width
146.87,6.119444444,5.119444444,0.27,0.20,-1.61,0.238939455,-1.431545086,0.299238679,,359.25,0.669963,-0.400532792,,,,,148.28,0.11,-2.21,0.15,0.18,TL00,23/05/2013,18:00:00,29/05/2013,14:45:00,6,5,140.75,0.155,0.093
147.38,6.140972222,5.140972222,0.37,0.28,-1.28,0.241321476,-1.421625308,0.302399185,,359.25,0.849209,-0.163449951,,,,,150.05,0.13,-2.02,-,0.20,TL01,23/05/2013,18:00:00,29/05/2013,16:50:00,6,5,142.83,,
147.62,6.150694444,5.150694444,0.35,0.21,-1.56,0.242404671,-1.417146757,0.30383707,,456.00,0.486043,-0.721458182,,,,,150.30,0.08,-2.50,-,0.12,TL02_T00,23/05/2013,18:00:00,29/05/2013,18:29:00,6,5,144.48,,
148.02,6.167361111,5.167361111,0.43,0.31,-1.17,0.244272419,-1.409471207,0.30631741,,456.00,0.80595,-0.215733573,,,,,150.47,0.12,-2.10,-,0.19,TL02_T01,23/05/2013,18:00:00,29/05/2013,20:29:00,6,5,146.48,,
148.22,6.175694444,5.175694444,0.32,0.22,-1.50,0.245211453,-1.405634368,0.307564909,,456.00,0.762332,-0.271373123,,,,,150.73,0.13,-2.05,-,0.17,TL02_T02,23/05/2013,18:00:00,29/05/2013,22:29:00,6,5,148.48,,
148.30,6.179166667,5.179166667,0.19,0.16,-1.83,0.245603736,-1.40403587,0.308086149,,383.17,0.862079,-0.148408365,,,,,151.18,0.14,-1.97,-,0.18,TL02_T03,23/05/2013,18:00:00,30/05/2013,00:29:00,7,6,150.48,,
148.30,6.179166667,5.179166667,0.44,0.25,-1.38,0.245603736,-1.40403587,0.308086149,,383.17,0.905037,-0.099779452,,,,,167.95,0.13,-2.02,0.16,0.20,TL02_T04,23/05/2013,18:00:00,30/05/2013,02:29:00,7,6,152.48,0.208,0.122
148.63,6.193055556,5.193055556,0.55,0.37,-1.00,0.247178886,-1.39764297,0.310179656,,383.17,0.797697,-0.226026453,,,,,169.53,0.11,-2.25,0.15,0.20,TL02_T05,23/05/2013,18:00:00,30/05/2013,04:29:00,7,6,154.48,,
148.65,6.19375,5.19375,0.38,0.29,-1.26,0.247257897,-1.397323371,0.310284692,,383.17,0.866945,-0.142779741,,,,,169.65,0.09,-2.36,-,0.19,TL02_T06,23/05/2013,18:00:00,30/05/2013,06:29:00,7,6,156.48,,
148.92,6.204861111,5.204861111,0.65,0.43,-0.85,0.24852536,-1.392210386,0.31196994,,479.42,0.495357,-0.702476564,,,,,170.52,0.11,-2.17,-,0.21,TL03_T00,23/05/2013,18:00:00,30/05/2013,09:30:00,7,6,159.50,,
150.62,6.275694444,5.275694444,0.48,0.30,-1.21,0.256752707,-1.359641886,0.322923037,,479.42,0.583332,-0.538998786,,,,,170.87,0.11,-2.21,0.15,0.18,TL03_T01,23/05/2013,18:00:00,30/05/2013,11:30:00,7,6,161.50,,
151.00,6.291666667,5.291666667,0.39,0.28,-1.26,0.25864353,-1.352304499,0.325443647,,407.50,1.468701,0.384378337,,,,,171.57,0.13,-2.07,0.16,0.20,TL04,23/05/2013,18:00:00,30/05/2013,13:33:00,7,6,163.55,,
151.20,6.3,5.3,0.44,0.27,-1.32,0.259635317,-1.348477258,0.32676627,,407.50,0.918945,-0.084529006,,,,,171.83,0.12,-2.15,0.16,-,TL05,23/05/2013,18:00:00,30/05/2013,15:30:00,7,6,165.50,0.277,0.18
151.33,6.305555556,5.305555556,0.42,0.28,-1.26,0.260298525,-1.345926132,0.327650898,,407.50,0.979341,-0.020875382,,,,,172.42,0.13,-2.02,-,0.22,TL06,23/05/2013,18:00:00,30/05/2013,17:16:00,7,6,167.27,,
151.45,6.310416667,5.310416667,0.37,0.25,-1.39,0.260880159,-1.343694139,0.328426841,,407.50,0.742433,-0.297822648,,,,,172.77,0.11,-2.21,-,0.18,TL07_T00,23/05/2013,18:00:00,30/05/2013,18:24:00,7,6,168.40,,
168,7,6,0.31,0.25,-1.40,0.357146196,-1.029610069,0.458334241,,407.50,0.894379,-0.111625656,,,,,191.73,0.12,-2.14,0.15,0.18,TL07_T01,23/05/2013,18:00:00,30/05/2013,20:24:00,7,6,170.40,,
168,7,6,0.46,0.30,-1.20,0.357146196,-1.029610069,0.458334241,,407.50,1.392759,0.331286672,,,,,191.72,0.16,-1.86,0.21,0.25,TL07_T02,23/05/2013,18:00:00,30/05/2013,22:24:00,7,6,172.40,,
168,7,6,0.46,0.31,-1.17,0.357146196,-1.029610069,0.458334241,,456.50,0.642634,-0.442179924,,,,,192.08,0.19,-1.64,0.24,0.32,TL07_T03,23/05/2013,18:00:00,31/05/2013,00:24,8,7,174.40,,
168,7,6,0.51,0.33,-1.11,0.357146196,-1.029610069,0.458334241,,456.50,0.56702,-0.567360703,,,,,192.72,0.19,-1.68,0.24,0.27,TL07_T04,23/05/2013,18:00:00,31/05/2013,02:24,8,7,176.40,0.397,0.26
172.13,7.172222222,6.172222222,0.70,0.53,-0.64,0.385945126,-0.952060081,0.497717872,,504.00,0.604239,-0.503785464,,,,,192.98,0.14,-2.00,0.19,-,TL07_T05,23/05/2013,18:00:00,31/05/2013,04:24,8,7,178.40,,
172.37,7.181944444,6.181944444,0.67,0.45,-0.80,0.38763378,-0.94769425,0.500033992,,504.00,0.984494,-0.015627475,,,,,193.07,0.18,-1.71,0.27,0.32,TL07_T06,23/05/2013,18:00:00,31/05/2013,06:24,8,7,180.40,,
172.63,7.193055556,6.193055556,0.61,0.46,-0.78,0.389572093,-0.942706341,0.502693449,,431.00,1.11617,0.109903182,,,,,193.23,0.14,-1.95,-,0.23,TL08,23/05/2013,18:00:00,31/05/2013,10:00,8,7,184.00,,
172.93,7.205555556,6.205555556,0.84,0.57,-0.56,0.391763473,-0.937097008,0.5057013,,431.00,1.125,0.117783036,,,,,193.75,0.12,-2.10,0.18,0.23,TL09,23/05/2013,18:00:00,31/05/2013,11:00,8,7,186.13,,
173.15,7.214583333,6.214583333,0.61,0.40,-0.92,0.393353261,-0.933047188,0.507884191,,431.00,1.222875,0.201204644,,,,,195.82,0.18,-1.74,0.19,0.23,TL10,23/05/2013,18:00:00,31/05/2013,12:08,8,7,187.08,,
173.42,7.225694444,6.225694444,0.72,0.59,-0.53,0.395318158,-0.928064375,0.510583032,,431.00,1.315025,0.273855677,,,,,217.03,0.16,-1.83,0.19,0.22,TL11,23/05/2013,18:00:00,31/05/2013,13:05:00,8,7,188.15,,
174.17,7.256944444,6.256944444,0.55,0.42,-0.86,0.400893439,-0.914059624,0.518246212,,431.00,1.695587,0.528028994,,,,,216.65,0.16,-1.86,-,0.27,TL12,23/05/2013,18:00:00,31/05/2013,14:09:00,8,7,189.05,,0.356
174.72,7.279861111,6.279861111,0.56,0.37,-0.99,0.405028283,-0.90379838,0.523934623,,479.50,0.720553,-0.327736306,,,,,216.82,0.14,-1.94,-,0.21,TL13,23/05/2013,18:00:00,31/05/2013,15:03:00,8,7,190.10,0.49,
174.85,7.285416667,6.285416667,0.59,0.47,-0.76,0.40603661,-0.90131195,0.52532246,,479.50,0.839633,-0.174790387,,,,,217.05,0.11,-2.20,-,0.19,TL14,23/05/2013,18:00:00,31/05/2013,16:06,8,7,191.00,,
192.22,8.009027778,7.009027778,1.15,0.82,-0.20,0.558950327,-0.58169467,0.738534941,,479.50,1.461156,0.379227903,,,,,217.18,0.20,-1.63,0.26,0.29,TL15,23/05/2013,18:00:00,31/05/2013,17:00:00,8,7,191.75,,
192.40,8.016666667,7.016666667,0.73,0.46,-0.78,0.56081166,-0.578370152,0.741161523,,527.50,0.700276,-0.356280736,,,,,218.10,0.26,-1.36,0.30,0.34,TL16_T00,23/05/2013,18:00:00,31/05/2013,17:45:00,8,7,193.75,,
192.58,8.024305556,7.024305556,0.80,0.57,-0.56,0.562678549,-0.575046774,0.743796653,,527.50,1.169933,0.156946482,,,,,218.42,0.30,-1.22,-,0.35,TL16_T01,23/05/2013,18:00:00,31/05/2013,19:45,8,7,195.75,,
192.72,8.029861111,7.029861111,0.70,0.52,-0.65,0.564039785,-0.572630489,0.745718494,,527.50,0.606266,-0.500436445,,,,,218.87,0.19,-1.65,0.28,0.33,TL16_T02,23/05/2013,18:00:00,31/05/2013,21:45,8,7,197.75,,
192.85,8.035416667,7.035416667,0.70,0.50,-0.70,0.565403971,-0.57021481,0.747644876,,527.50,0.722797,-0.324626871,,,,,219.93,0.23,-1.45,0.27,0.34,TL16_T03,23/05/2013,18:00:00,31/05/2013,23:45,8,7,175.75,,
214.68,8.945138889,7.945138889,0.66,0.50,-0.69,0.832053943,-0.183858005,1.130783019,,,,,,,,,239.08,0.20,-1.63,0.26,0.29,TL16_T04,23/05/2013,18:00:00,01/06/2013,01:45,9,8,201.75,,0.47
215.33,8.972222222,7.972222222,1.51,1.19,0.17,0.841414468,-0.172670913,1.144451828,,,,,,,,,239.50,0.30,-1.22,0.41,0.45,TL16_T05,23/05/2013,18:00:00,01/06/2013,03:45,9,8,203.75,,
215.92,8.996527778,7.996527778,1.67,1.41,0.34,0.849889822,-0.162648559,1.15683989,,,,,,,,,239.70,0.22,-1.51,0.28,0.32,TL16_T06,23/05/2013,18:00:00,01/06/2013,05:45,9,8,208.47,,
216.62,9.025694444,8.025694444,0.86,0.71,-0.35,0.860154212,-0.15064359,1.171857855,,,,,,,,,241.03,0.13,-2.08,0.17,0.21,TL17,23/05/2013,18:00:00,01/06/2013,10:28,9,8,209.63,0.752,
216.90,9.0375,8.0375,1.69,1.16,0.15,0.864338102,-0.145791266,1.177984031,,,,,,,,,241.03,0.16,-1.83,0.24,0.289,TL18,23/05/2013,18:00:00,01/06/2013,11:38,9,8,210.50,0.771,
217.48,9.061805556,8.061805556,1.67,1.41,0.34,0.873005283,-0.135813671,1.190683337,,,,,,,,,241.03,0.35,-1.04,0.37,-,TL19,23/05/2013,18:00:00,01/06/2013,12:30:00,9,8,211.25,0.801,
218.67,9.111111111,8.111111111,1.38,1.17,0.16,0.890808733,-0.11562554,1.216805204,,,,,,,,,242.22,0.20,-1.60,0.28,0.31,TL20,23/05/2013,18:00:00,01/06/2013,13:15:00,9,8,211.25,0.818,0.552
219.82,9.159027778,8.159027778,1.16,1.08,0.07,0.908396859,-0.096073927,1.242658119,,,,,,,,,242.77,0.15,-1.92,0.19,0.21,,,,,,,,,,
220.18,9.174305556,8.174305556,1.20,0.99,-0.01,0.914064339,-0.089854317,1.250998642,,,,,,,,,243.00,0.21,-1.56,0.26,0.29,,,,,,,,,,
221.05,9.210416667,8.210416667,0.96,0.77,-0.27,0.927575496,-0.075181091,1.270901477,,,,,,,,,243.15,0.22,-1.51,0.28,0.31,,,,,,,,,,
221.30,9.220833333,8.220833333,1.36,0.98,-0.02,0.931503151,-0.070955706,1.276692225,,,,,,,,,243.37,0.16,-1.85,0.20,0.24,,,,,,,,,,
221.43,9.226388889,8.226388889,1.11,0.86,-0.15,0.933603446,-0.068703507,1.279789728,,,,,,,,,243.50,0.14,-1.94,0.17,0.19,,,,,,,,,,
